eventId,title,displayDate,eventLevel,sourceFamily,preferredVerificationDomains,folder
khoi-nghia-khuc-thua-du,Khởi nghĩa Khúc Thừa Dụ,905,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khoi-nghia-khuc-thua-du
chien-thang-bach-dang-938,Chiến thắng Bạch Đằng (938),Năm 938,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/chien-thang-bach-dang-938
ngo-quyen-xung-vuong-co-loa,Ngô Quyền xưng vương và đóng đô ở Cổ Loa,Sau năm 938,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/ngo-quyen-xung-vuong-co-loa
khang-chien-chong-quan-tong-981,Kháng chiến chống quân Tống (lần 1),Năm 981,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khang-chien-chong-quan-tong-981
khang-chien-chong-quan-tong-1075-1077,Kháng chiến chống quân Tống (lần 2),1075-1077,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khang-chien-chong-quan-tong-1075-1077
ly-thuong-kiet-tap-kich-kham-chau-liem-chau-ung-chau,"Lý Thường Kiệt chủ động tập kích Khâm Châu, Liêm Châu, Ung Châu",Năm 1075,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/ly-thuong-kiet-tap-kich-kham-chau-liem-chau-ung-chau
ly-nhan-tong-lap-quoc-tu-giam,Vua Lý Nhân Tông cho lập Quốc Tử Giám,Năm 1076,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/ly-nhan-tong-lap-quoc-tu-giam
ga-cong-chua-thieu-dung-duong-tu-minh-1144,Gả Công chúa Thiều Dung cho Dương Tự Minh,Năm 1144,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/ga-cong-chua-thieu-dung-duong-tu-minh-1144
cai-cach-tran-thu-do,Cải cách của Trần Thủ Độ,Thế kỉ XIII,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/cai-cach-tran-thu-do
khang-chien-chong-quan-mong-co-1258,Kháng chiến chống quân Mông Cổ (lần 1),Năm 1258,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khang-chien-chong-quan-mong-co-1258
hoi-nghi-binh-than,Hội nghị Bình Than,Năm 1282,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/hoi-nghi-binh-than
hoi-nghi-dien-hong,Hội nghị Diên Hồng,Năm 1285,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/hoi-nghi-dien-hong
khang-chien-chong-quan-nguyen-1285,Kháng chiến chống quân Nguyên (lần 2),Năm 1285,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khang-chien-chong-quan-nguyen-1285
khung-hoang-cuoi-trieu-tran,Khủng hoảng cuối triều Trần,Cuối thế kỉ XIV,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khung-hoang-cuoi-trieu-tran
le-loi-xay-thanh-luc-nien,Lê Lợi xây thành Lục Niên,thế kỉ XV,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/le-loi-xay-thanh-luc-nien
nha-minh-xam-luoc-dai-ngu,Nhà Minh xâm lược Đại Ngu,Giữa lúc công cuộc cải cách của nhà Hồ đang thực hiện (đầu thế kỉ XV),atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/nha-minh-xam-luoc-dai-ngu
khang-chien-chong-quan-minh-nha-ho,Kháng chiến chống quân Minh của nhà Hồ,1406 - 1407,collection,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/khang-chien-chong-quan-minh-nha-ho
nha-minh-thong-tri-huy-diet-van-minh-dai-viet,Nhà Minh thống trị Đại Việt và chính sách huỷ diệt văn minh,Từ năm 1407 đến năm 1427,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/nha-minh-thong-tri-huy-diet-van-minh-dai-viet
hoi-the-lung-nhai,Hội thề Lũng Nhai,Năm 1416,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/hoi-the-lung-nhai
hoi-the-dong-quan,Hội thề Đông Quan,Tháng 12 - 1427,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/hoi-the-dong-quan
le-nghi-dan-dat-luc-bo,Lê Nghi Dân đặt Lục bộ,Năm 1460,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/le-nghi-dan-dat-luc-bo
cai-to-he-thong-quan-doi-le-thanh-tong,Cải tổ hệ thống quân đội dưới thời Lê Thánh Tông,Năm 1466,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/cai-to-he-thong-quan-doi-le-thanh-tong
dat-them-thua-tuyen-quang-nam,Đặt thêm thừa tuyên Quảng Nam,Năm 1471,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/dat-them-thua-tuyen-quang-nam
ban-hanh-chinh-sach-loc-dien-quan-dien,Ban hành chính sách lộc điền và quân điền,Năm 1477,atomic,ancient_medieval,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,by_event/ban-hanh-chinh-sach-loc-dien-quan-dien
doi-moi-dao-duy-tu-dang-trong,Sự nghiệp đổi mới của Đào Duy Từ ở Đàng Trong,Thế kỉ XVI,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/doi-moi-dao-duy-tu-dang-trong
nha-mac-thanh-lap,Nhà Mạc thành lập,Năm 1527,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/nha-mac-thanh-lap
giao-si-phuong-tay-truyen-dao-cong-giao,Giáo sĩ phương Tây truyền đạo Công giáo ở Nam Định,Năm 1533,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/giao-si-phuong-tay-truyen-dao-cong-giao
giang-van-minh-di-su-nha-minh,Giang Văn Minh đi sứ nhà Minh,Năm 1637,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/giang-van-minh-di-su-nha-minh
cai-cach-trinh-cuong-dang-ngoai,Cải cách của Trịnh Cương ở Đàng Ngoài,Thế kỉ XVIII,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/cai-cach-trinh-cuong-dang-ngoai
nguyen-hue-dung-chan-chieu-mo-binh-si,Nguyễn Huệ dừng chân chiêu mộ binh sĩ,cuối thế kỉ XVIII,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/nguyen-hue-dung-chan-chieu-mo-binh-si
phong-trao-tay-son-bung-no,Phong trào Tây Sơn bùng nổ,Cuối thế kỉ XVIII,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/phong-trao-tay-son-bung-no
thanh-lap-lang-xa-huyen-tien-hai-thai-binh,Thành lập làng xã thuộc huyện Tiền Hải (Thái Bình),Đầu thế kỉ XIX,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/thanh-lap-lang-xa-huyen-tien-hai-thai-binh
bac-thanh-duoc-lap,Bắc Thành được lập,1802 - 1831,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/bac-thanh-duoc-lap
thoi-gia-long-tri-vi,Thời Gia Long trị vì,1802 - 1820,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/thoi-gia-long-tri-vi
trieu-nguyen-thanh-lap,Triều Nguyễn được thành lập,Năm 1802,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/trieu-nguyen-thanh-lap
gia-dinh-thanh-duoc-lap,Gia Định Thành được lập,1808 - 1832,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/gia-dinh-thanh-duoc-lap
doi-dinh-quang-duc-thanh-phu-thua-thien,Đổi dinh Quảng Đức thành phủ Thừa Thiên,Năm 1822,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/doi-dinh-quang-duc-thanh-phu-thua-thien
doi-cac-doanh-quang-binh-quang-tri-quang-nam-thanh-tran,"Đổi các doanh Quảng Bình, Quảng Trị, Quảng Nam thành trấn",Năm 1827,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/doi-cac-doanh-quang-binh-quang-tri-quang-nam-thanh-tran
phap-xam-luoc-viet-nam,Thực dân Pháp xâm lược và từng bước áp đặt ách cai trị ở Việt Nam,Giữa thế kỉ XIX,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/phap-xam-luoc-viet-nam
do-dac-cam-moc-chu-quyen-hoang-sa-pham-huu-nhat,"Đo đạc, cắm mốc chủ quyền Hoàng Sa của Phạm Hữu Nhật",Ngày 1 tháng Giêng năm 1836,atomic,maritime,mofa.gov.vn|biengioilanhtho.gov.vn|mod.gov.vn|qdnd.vn|chinhphu.vn|vietnamplus.vn|luutru.gov.vn,by_event/do-dac-cam-moc-chu-quyen-hoang-sa-pham-huu-nhat
thi-diem-chia-lai-ruong-dat-minh-mang,Thí điểm chia lại ruộng đất dưới thời Minh Mạng,1837 - 1840,atomic,early_modern,baotanglichsu.vn|luutru.gov.vn|disanvanhoa.gov.vn|nhandan.vn|qdnd.vn,by_event/thi-diem-chia-lai-ruong-dat-minh-mang
chu-quyen-bien-dao-viet-nam-1858-1918,Chủ quyền biển đảo Việt Nam 1858-1918,Chủ quyền biển đảo Việt Nam 1858-1918,collection,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/chu-quyen-bien-dao-viet-nam-1858-1918
khang-chien-chong-thuc-dan-phap-trieu-nguyen,Kháng chiến chống thực dân Pháp của triều Nguyễn,1858 – 1884,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/khang-chien-chong-thuc-dan-phap-trieu-nguyen
phap-xam-chiem-dong-duong,Pháp xâm chiếm ba nước Đông Dương,1858-1893,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/phap-xam-chiem-dong-duong
phong-trao-chong-thuc-dan-phap-xam-luoc-o-viet-nam,Phong trào chống thực dân Pháp xâm lược ở Việt Nam,1858 - khoảng 1884,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/phong-trao-chong-thuc-dan-phap-xam-luoc-o-viet-nam
khoi-nghia-cua-pu-com-bo,Khởi nghĩa của Pu-côm-bô,1866-1867,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/khoi-nghia-cua-pu-com-bo
phap-chiem-sau-tinh-nam-ki,Pháp chiếm sáu tỉnh Nam Kì,Năm 1867,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/phap-chiem-sau-tinh-nam-ki
vuong-thuc-mau-khoi-nghia-can-vuong,Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương,cuối thế kỉ XIX,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/vuong-thuc-mau-khoi-nghia-can-vuong
phap-chiem-bac-ki-lan-1,Pháp đánh chiếm Bắc Kì lần thứ nhất,Năm 1873,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/phap-chiem-bac-ki-lan-1
phap-chiem-bac-ki-lan-2,Pháp đánh chiếm Bắc Kì lần thứ hai,Năm 1882,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/phap-chiem-bac-ki-lan-2
hiep-uoc-hac-mang,Hiệp ước Hác-măng,Năm 1883,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/hiep-uoc-hac-mang
hiep-uoc-pa-to-not,Hiệp ước Pa-tơ-nốt,Năm 1884,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/hiep-uoc-pa-to-not
trung-quoc-tu-choi-boi-thuong-vu-tau-dam-hoang-sa,Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa,Năm 1898,atomic,maritime,mofa.gov.vn|biengioilanhtho.gov.vn|mod.gov.vn|qdnd.vn|chinhphu.vn|vietnamplus.vn|luutru.gov.vn,by_event/trung-quoc-tu-choi-boi-thuong-vu-tau-dam-hoang-sa
phong-trao-dong-du,Phong trào Đông du,Đầu thế kỉ XX,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/phong-trao-dong-du
hoat-dong-doi-ngoai-phan-boi-chau,Hoạt động đối ngoại của Phan Bội Châu,1905 - 1912,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/hoat-dong-doi-ngoai-phan-boi-chau
phan-boi-chau-sang-nhat-ban-1905,Phan Bội Châu sang Nhật Bản,Đầu năm 1905,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/phan-boi-chau-sang-nhat-ban-1905
nguyen-tat-thanh-tham-gia-chong-thue-hue,Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế,Năm 1908,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/nguyen-tat-thanh-tham-gia-chong-thue-hue
thanh-lap-lien-minh-dong-a-1908,Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh,Năm 1908,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/thanh-lap-lien-minh-dong-a-1908
nguyen-tat-thanh-roi-phan-thiet-vao-sai-gon,Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn,Tháng 2-1911,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/nguyen-tat-thanh-roi-phan-thiet-vao-sai-gon
nguyen-tat-thanh-ra-di-tim-duong-cuu-nuoc,Nguyễn Tất Thành ra đi tìm đường cứu nước,5-6-1911,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/nguyen-tat-thanh-ra-di-tim-duong-cuu-nuoc
hoat-dong-doi-ngoai-phan-chau-trinh,Hoạt động đối ngoại của Phan Châu Trinh,Từ năm 1911,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/hoat-dong-doi-ngoai-phan-chau-trinh
phan-boi-chau-ve-trung-quoc-1911,Phan Bội Châu về hoạt động ở Trung Quốc,Năm 1911,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/phan-boi-chau-ve-trung-quoc-1911
phan-chau-trinh-sang-phap-1911,Phan Châu Trinh sang Pháp,Năm 1911,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/phan-chau-trinh-sang-phap-1911
thanh-lap-viet-nam-quang-phuc-hoi-1912,Thành lập Việt Nam Quang phục hội và Chấn Hoa Hưng Á,Đầu năm 1912,atomic,colonial,baotanglichsu.vn|luutru.gov.vn|hochiminh.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|gallica.bnf.fr|loc.gov,by_event/thanh-lap-viet-nam-quang-phuc-hoi-1912
chu-quyen-bien-dao-viet-nam-1919-1945,Chủ quyền biển đảo Việt Nam 1919-1945,Chủ quyền biển đảo Việt Nam 1919-1945,collection,revolutionary,hochiminh.vn|tulieuvankien.dangcongsan.vn|dangcongsan.vn|baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/chu-quyen-bien-dao-viet-nam-1919-1945
nguyen-ai-quoc-gui-yeu-sach-vec-xai,Nguyễn Ái Quốc gửi Yêu sách của nhân dân An Nam đến Hội nghị Véc-xai,Năm 1919,atomic,revolutionary,hochiminh.vn|tulieuvankien.dangcongsan.vn|dangcongsan.vn|baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/nguyen-ai-quoc-gui-yeu-sach-vec-xai
nguyen-ai-quoc-doc-luan-cuong-le-nin,Nguyễn Ái Quốc đọc Sơ thảo lần thứ nhất những luận cương về vấn đề dân tộc và vấn đề thuộc địa của Lê-nin,Tháng 7 – 1920,atomic,revolutionary,hochiminh.vn|tulieuvankien.dangcongsan.vn|dangcongsan.vn|baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/nguyen-ai-quoc-doc-luan-cuong-le-nin
nguyen-ai-quoc-gia-nhap-quoc-te-cong-san-va-sang-lap-dang-cong-san-phap,Nguyễn Ái Quốc bỏ phiếu tán thành gia nhập Quốc tế Cộng sản và sáng lập Đảng Cộng sản Pháp,Tháng 12 - 1920,atomic,revolutionary,hochiminh.vn|tulieuvankien.dangcongsan.vn|dangcongsan.vn|baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/nguyen-ai-quoc-gia-nhap-quoc-te-cong-san-va-sang-lap-dang-cong-san-phap
nguyen-ai-quoc-hoat-dong-phap-1921-1923,Nguyễn Ái Quốc hoạt động ở Pháp,Từ năm 1921 đến tháng 6 – 1923,atomic,revolutionary,hochiminh.vn|tulieuvankien.dangcongsan.vn|dangcongsan.vn|baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/nguyen-ai-quoc-hoat-dong-phap-1921-1923
nguyen-ai-quoc-thanh-lap-hoi-lien-hiep-thuoc-dia-1921,Nguyễn Ái Quốc tham gia thành lập Hội Liên hiệp thuộc địa,Năm 1921,atomic,revolutionary,hochiminh.vn|tulieuvankien.dangcongsan.vn|dangcongsan.vn|baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,by_event/nguyen-ai-quoc-thanh-lap-hoi-lien-hiep-thuoc-dia-1921
