eventIndex,eventId,title,chronology,summary,locations,people,likelyImageSubjects,recommendedTrustedDomains,suggestedSearchQueries,discoveryStatus,historicalVerificationSources,imageCandidate1,imageCandidate2,unresolvedReason,mojibakeSuspected
11,khoi-nghia-khu-lien-lap-nuoc-lam-ap,Khởi nghĩa Khu Liên lập nước Lâm Ấp,Năm 192,"Trong hai thế kỉ đầu Công nguyên, người Chăm ở quận Nhật Nam liên tục đấu tranh chống lại ách cai trị của nhà Hán. Đến năm 192, dưới sự lãnh đạo của Khu Liên (thủ lĩnh của một bộ lạc ở phía Nam quận Nhật Nam) đã nổi dậy lật đổ ách thống trị của ngoại bang, lập ra nước Lâm Ấp (sau này gọi là Chăm pa), kinh đô là Sin-ha-pu-ra (Trà Kiệu, Quảng Nam).","[""Sin-ha-pu-ra""]",[],"[""Khởi nghĩa Khu Liên lập nước Lâm Ấp"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp Năm 192"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp Sin-ha-pu-ra"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp Diễn ra năm 192 Thành lập nước Lâm Ấp (sau này là Chăm pa)"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp hiện vật"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Khởi nghĩa Khu Liên lập nước Lâm Ấp"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp Năm 192"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp Sin-ha-pu-ra"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp Diễn ra năm 192 Thành lập nước Lâm Ấp (sau này là Chăm pa)"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp hiện vật"", ""Khởi nghĩa Khu Liên lập nước Lâm Ấp di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
12,phu-nam-tro-thanh-vuong-quoc-hung-manh,Phù Nam trở thành vương quốc hùng mạnh,Từ thế kỉ III đến thế kỉ V,"Trong khoảng hơn hai thế kỉ đầu sau khi thành lập, tổ chức nhà nước Phù Nam còn đơn giản. Từ thế kỉ III đến thế kỉ V, tổ chức nhà nước ngày càng được hoàn thiện. Phù Nam vươn lên trở thành vương quốc hùng mạnh, có ảnh hưởng rộng ra nhiều vùng đất ở khu vực Đông Nam Á.","[""Đốn Tốn"", ""Xích Thổ"", ""Đông Nam Á"", ""Chân Lạp""]",[],"[""Phù Nam trở thành vương quốc hùng mạnh"", ""Phù Nam trở thành vương quốc hùng mạnh Từ thế kỉ III đến thế kỉ V"", ""Phù Nam trở thành vương quốc hùng mạnh Đốn Tốn"", ""Phù Nam trở thành vương quốc hùng mạnh Diễn ra từ thế kỉ III đến thế kỉ V Có ảnh hưởng rộng ra nhiều vùng đất ở Đông Nam Á"", ""Phù Nam trở thành vương quốc hùng mạnh hiện vật"", ""Phù Nam trở thành vương quốc hùng mạnh di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Phù Nam trở thành vương quốc hùng mạnh"", ""Phù Nam trở thành vương quốc hùng mạnh Từ thế kỉ III đến thế kỉ V"", ""Phù Nam trở thành vương quốc hùng mạnh Đốn Tốn"", ""Phù Nam trở thành vương quốc hùng mạnh Diễn ra từ thế kỉ III đến thế kỉ V Có ảnh hưởng rộng ra nhiều vùng đất ở Đông Nam Á"", ""Phù Nam trở thành vương quốc hùng mạnh hiện vật"", ""Phù Nam trở thành vương quốc hùng mạnh di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
13,khoi-nghia-ba-trieu,Khởi nghĩa Bà Triệu,248,"Năm 248, Bà Triệu lãnh đạo nhân dân vùng Cửu Chân nổi dậy ở căn cứ núi Nưa (Triệu Sơn, Thanh Hoá). Khởi nghĩa nhanh chóng lan rộng ra Giao Chỉ, làm rung chuyển chính quyền đô hộ. Quân Ngô do Lục Dận chỉ huy kéo sang đàn áp, khởi nghĩa thất bại.",[],[],"[""Khởi nghĩa Bà Triệu"", ""Khởi nghĩa Bà Triệu 248"", ""Khởi nghĩa Bà Triệu Bắc thuộc và đấu tranh giành độc lập"", ""Khởi nghĩa Bà Triệu Bà Triệu lãnh đạo nhân dân vùng Cửu Chân nổi dậy ở căn cứ núi Nưa (Triệu Sơn, Thanh Hoá) Khởi nghĩa thất bại"", ""Khởi nghĩa Bà Triệu hiện vật"", ""Khởi nghĩa Bà Triệu di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Khởi nghĩa Bà Triệu"", ""Khởi nghĩa Bà Triệu 248"", ""Khởi nghĩa Bà Triệu Bắc thuộc và đấu tranh giành độc lập"", ""Khởi nghĩa Bà Triệu Bà Triệu lãnh đạo nhân dân vùng Cửu Chân nổi dậy ở căn cứ núi Nưa (Triệu Sơn, Thanh Hoá) Khởi nghĩa thất bại"", ""Khởi nghĩa Bà Triệu hiện vật"", ""Khởi nghĩa Bà Triệu di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
14,khoi-nghia-ly-bi-trieu-quang-phuc,Khởi nghĩa Lý Bí và Triệu Quang Phục,542-602,"Năm 542, khởi nghĩa Lý Bí bùng nổ, lật đổ chính quyền đô hộ. Sau đó, Lý Bí lập ra Nhà nước Vạn Xuân. Năm 545, quân Lương tiếp tục sang xâm lược, Triệu Quang Phục lãnh đạo cuộc khởi nghĩa và giành thắng lợi. Đến năm 602, nhà Lương đem quân sang đàn áp, cuộc khởi nghĩa thất bại.",[],[],"[""Khởi nghĩa Lý Bí và Triệu Quang Phục"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục 542-602"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục Bắc thuộc và đấu tranh giành độc lập"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục Đến năm 602, nhà Lương đem quân sang đàn áp, cuộc khởi nghĩa thất bại Năm 542, khởi nghĩa Lý Bí bùng nổ, lật đổ chính quyền đô hộ"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục hiện vật"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Khởi nghĩa Lý Bí và Triệu Quang Phục"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục 542-602"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục Bắc thuộc và đấu tranh giành độc lập"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục Đến năm 602, nhà Lương đem quân sang đàn áp, cuộc khởi nghĩa thất bại Năm 542, khởi nghĩa Lý Bí bùng nổ, lật đổ chính quyền đô hộ"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục hiện vật"", ""Khởi nghĩa Lý Bí và Triệu Quang Phục di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
15,xa-lan-dau-tien-xuat-hien,Xã lần đầu tiên xuất hiện,Đầu thế kỉ VII,Xã lần đầu tiên xuất hiện vào đầu thế kỉ VII.,[],[],"[""Xã lần đầu tiên xuất hiện"", ""Xã lần đầu tiên xuất hiện Đầu thế kỉ VII"", ""Xã lần đầu tiên xuất hiện Bắc thuộc và đấu tranh giành độc lập"", ""Xã lần đầu tiên xuất hiện Đầu thế kỉ VII Xã xuất hiện lần đầu"", ""Xã lần đầu tiên xuất hiện hiện vật"", ""Xã lần đầu tiên xuất hiện di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Xã lần đầu tiên xuất hiện"", ""Xã lần đầu tiên xuất hiện Đầu thế kỉ VII"", ""Xã lần đầu tiên xuất hiện Bắc thuộc và đấu tranh giành độc lập"", ""Xã lần đầu tiên xuất hiện Đầu thế kỉ VII Xã xuất hiện lần đầu"", ""Xã lần đầu tiên xuất hiện hiện vật"", ""Xã lần đầu tiên xuất hiện di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
16,mai-thuc-loan-khoi-nghia,Mai Thúc Loan dựng cờ khởi nghĩa,đầu thế kỉ VIII,Vùng đất Nam Đàn (Nghệ An) là nơi lưu nhiều dấu tích lịch sử liên quan đến Mai Thúc Loan dựng cờ khởi nghĩa (đầu thế kỉ VIII).,[],[],"[""Mai Thúc Loan dựng cờ khởi nghĩa"", ""Mai Thúc Loan dựng cờ khởi nghĩa đầu thế kỉ VIII"", ""Mai Thúc Loan dựng cờ khởi nghĩa Bắc thuộc và đấu tranh giành độc lập"", ""Mai Thúc Loan dựng cờ khởi nghĩa Diễn ra ở Nam Đàn (Nghệ An)"", ""Mai Thúc Loan dựng cờ khởi nghĩa hiện vật"", ""Mai Thúc Loan dựng cờ khởi nghĩa di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Mai Thúc Loan dựng cờ khởi nghĩa"", ""Mai Thúc Loan dựng cờ khởi nghĩa đầu thế kỉ VIII"", ""Mai Thúc Loan dựng cờ khởi nghĩa Bắc thuộc và đấu tranh giành độc lập"", ""Mai Thúc Loan dựng cờ khởi nghĩa Diễn ra ở Nam Đàn (Nghệ An)"", ""Mai Thúc Loan dựng cờ khởi nghĩa hiện vật"", ""Mai Thúc Loan dựng cờ khởi nghĩa di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
17,khoi-nghia-mai-thuc-loan,Khởi nghĩa Mai Thúc Loan,713-722,"Mai Thúc Loan kêu gọi nhân dân vùng Nam Đàn (Nghệ An) nổi dậy khởi nghĩa và nhanh chóng làm chủ vùng đất Hoan Châu. Sau đó, nghĩa quân tiến ra Bắc, đánh đuổi chính quyền đô hộ, làm chủ thành Tổng Bình. Cuối cùng, cuộc khởi nghĩa bị nhà Đường đàn áp.","[""Tổng Bình""]",[],"[""Khởi nghĩa Mai Thúc Loan"", ""Khởi nghĩa Mai Thúc Loan 713-722"", ""Khởi nghĩa Mai Thúc Loan Tổng Bình"", ""Khởi nghĩa Mai Thúc Loan Nghĩa quân nhanh chóng làm chủ vùng đất Hoan Châu Tiến ra Bắc, đánh đuổi chính quyền đô hộ, làm chủ thành Tổng Bình"", ""Khởi nghĩa Mai Thúc Loan hiện vật"", ""Khởi nghĩa Mai Thúc Loan di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Khởi nghĩa Mai Thúc Loan"", ""Khởi nghĩa Mai Thúc Loan 713-722"", ""Khởi nghĩa Mai Thúc Loan Tổng Bình"", ""Khởi nghĩa Mai Thúc Loan Nghĩa quân nhanh chóng làm chủ vùng đất Hoan Châu Tiến ra Bắc, đánh đuổi chính quyền đô hộ, làm chủ thành Tổng Bình"", ""Khởi nghĩa Mai Thúc Loan hiện vật"", ""Khởi nghĩa Mai Thúc Loan di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
18,khoi-nghia-phung-hung,Khởi nghĩa Phùng Hưng,Cuối thế kỉ VIII,"Cuối thế kỉ VIII, Phùng Hưng phát động khởi nghĩa ở Đường Lâm (Sơn Tây, Hà Nội). Nghĩa quân đánh chiếm phủ thành Tổng Bình, giành quyền tự chủ trong một thời gian ngắn. Năm 791, nhà Đường đem quân sang đàn áp và chiếm lại.","[""Đường Lâm (Sơn Tây, Hà Nội)"", ""Tổng Bình""]",[],"[""Khởi nghĩa Phùng Hưng"", ""Khởi nghĩa Phùng Hưng Cuối thế kỉ VIII"", ""Khởi nghĩa Phùng Hưng Đường Lâm (Sơn Tây, Hà Nội)"", ""Khởi nghĩa Phùng Hưng Phùng Hưng phát động khởi nghĩa ở Đường Lâm (Sơn Tây, Hà Nội) Năm 791, nhà Đường đem quân sang đàn áp và chiếm lại"", ""Khởi nghĩa Phùng Hưng hiện vật"", ""Khởi nghĩa Phùng Hưng di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Khởi nghĩa Phùng Hưng"", ""Khởi nghĩa Phùng Hưng Cuối thế kỉ VIII"", ""Khởi nghĩa Phùng Hưng Đường Lâm (Sơn Tây, Hà Nội)"", ""Khởi nghĩa Phùng Hưng Phùng Hưng phát động khởi nghĩa ở Đường Lâm (Sơn Tây, Hà Nội) Năm 791, nhà Đường đem quân sang đàn áp và chiếm lại"", ""Khởi nghĩa Phùng Hưng hiện vật"", ""Khởi nghĩa Phùng Hưng di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
19,khoi-nghia-khuc-thua-du,Khởi nghĩa Khúc Thừa Dụ,905,"Năm 905, Khúc Thừa Dụ lãnh đạo nhân dân tấn công thành Đại La, lật đổ chính quyền đô hộ, tự xưng là Tiết độ sứ, xây dựng chính quyền tự chủ.",[],[],"[""Khởi nghĩa Khúc Thừa Dụ"", ""Khởi nghĩa Khúc Thừa Dụ 905"", ""Khởi nghĩa Khúc Thừa Dụ Bắc thuộc và đấu tranh giành độc lập"", ""Khởi nghĩa Khúc Thừa Dụ Lật đổ chính quyền đô hộ Xây dựng chính quyền tự chủ"", ""Khởi nghĩa Khúc Thừa Dụ hiện vật"", ""Khởi nghĩa Khúc Thừa Dụ di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Khởi nghĩa Khúc Thừa Dụ"", ""Khởi nghĩa Khúc Thừa Dụ 905"", ""Khởi nghĩa Khúc Thừa Dụ Bắc thuộc và đấu tranh giành độc lập"", ""Khởi nghĩa Khúc Thừa Dụ Lật đổ chính quyền đô hộ Xây dựng chính quyền tự chủ"", ""Khởi nghĩa Khúc Thừa Dụ hiện vật"", ""Khởi nghĩa Khúc Thừa Dụ di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
20,chien-thang-bach-dang-938,Chiến thắng Bạch Đằng (938),Năm 938,"Chiến thắng Bạch Đằng do Ngô Quyền lãnh đạo vào năm 938 đã kết thúc ách đô hộ của phong kiến phương Bắc, mở ra thời kì độc lập tự chủ lâu dài của dân tộc.",[],[],"[""Chiến thắng Bạch Đằng (938)"", ""Chiến thắng Bạch Đằng (938) Năm 938"", ""Chiến thắng Bạch Đằng (938) Việt Nam từ thế kỉ X đến thế kỉ XV"", ""Chiến thắng Bạch Đằng (938) Diễn ra vào năm 938 Mở ra thời kì độc lập tự chủ lâu dài của dân tộc"", ""Chiến thắng Bạch Đằng (938) hiện vật"", ""Chiến thắng Bạch Đằng (938) di tích""]","[""baotanglichsu.vn"", ""disanvanhoa.gov.vn"", ""bvhttdl.gov.vn"", ""qdnd.vn"", ""nhandan.vn"", ""unesco.org"", ""whc.unesco.org""]","[""Chiến thắng Bạch Đằng (938)"", ""Chiến thắng Bạch Đằng (938) Năm 938"", ""Chiến thắng Bạch Đằng (938) Việt Nam từ thế kỉ X đến thế kỉ XV"", ""Chiến thắng Bạch Đằng (938) Diễn ra vào năm 938 Mở ra thời kì độc lập tự chủ lâu dài của dân tộc"", ""Chiến thắng Bạch Đằng (938) hiện vật"", ""Chiến thắng Bạch Đằng (938) di tích""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
