eventIndex,eventId,title,chronology,eventLevel,sourceFamily,folder,slot,role,suggestedFilename,relationType,confidence,imageTitle,assetPageUrl,assetFileUrl,previewUrl,sourceDomain,author,license,licenseUrl,requiredAttribution,historicalVerificationUrl,historicalReason,downloadStatus,reviewerNotes,preferredVerificationDomains,gateStatus,gateSeverity,gateCategory,gateProblem,gateRequiredAction,manualApprovalAllowed,packageReviewRequired
5,viet-nam-1919-1945,Việt Nam từ năm 1919 đến năm 1945,Việt Nam 1919-1945,collection,broad_period,by_event/viet-nam-1919-1945,1,thumbnail,image_01.<đúng-đuôi-file>,strong_contextual,medium,Declaration of Independence of DRV,https://en.wikipedia.org/wiki/Declaration_of_independence_of_the_Democratic_Republic_of_Vietnam,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/Declaration_of_independence_of_the_Democratic_Republic_of_Vietnam,Tuyên ngôn Độc lập 1945 là mốc kết thúc trực tiếp giai đoạn 1919-1945.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
5,viet-nam-1919-1945,Việt Nam từ năm 1919 đến năm 1945,Việt Nam 1919-1945,collection,broad_period,by_event/viet-nam-1919-1945,2,gallery,image_02.<đúng-đuôi-file>,strong_contextual,medium,Hồ Chí Minh / Ba Đình 1945 related media,https://en.wikipedia.org/wiki/Ho_Chi_Minh,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/Ho_Chi_Minh,Hồ Chí Minh là nhân vật trung tâm của cách mạng Việt Nam giai đoạn 1919-1945.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
6,viet-nam-1945-1954,Việt Nam từ năm 1945 đến năm 1954,Việt Nam 1945-1954,collection,broad_period,by_event/viet-nam-1945-1954,1,thumbnail,image_01.<đúng-đuôi-file>,strong_contextual,medium,First Indochina War,https://en.wikipedia.org/wiki/First_Indochina_War,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/First_Indochina_War,Kháng chiến chống Pháp là nội dung chính của giai đoạn 1945-1954.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
6,viet-nam-1945-1954,Việt Nam từ năm 1945 đến năm 1954,Việt Nam 1945-1954,collection,broad_period,by_event/viet-nam-1945-1954,2,gallery,image_02.<đúng-đuôi-file>,strong_contextual,medium,Declaration of Independence 1945,https://en.wikipedia.org/wiki/Declaration_of_independence_of_the_Democratic_Republic_of_Vietnam,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/Declaration_of_independence_of_the_Democratic_Republic_of_Vietnam,Năm 1945 mở đầu nước Việt Nam Dân chủ Cộng hòa và giai đoạn 1945-1954.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
7,viet-nam-1954-1975,Việt Nam từ năm 1954 đến năm 1975,Việt Nam 1954-1975,collection,broad_period,by_event/viet-nam-1954-1975,1,thumbnail,image_01.<đúng-đuôi-file>,strong_contextual,medium,Vietnam War / 1975,https://en.wikipedia.org/wiki/1975_in_the_Vietnam_War,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/1975_in_the_Vietnam_War,Năm 1975 là mốc kết thúc chiến tranh và giai đoạn 1954-1975.,awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
7,viet-nam-1954-1975,Việt Nam từ năm 1954 đến năm 1975,Việt Nam 1954-1975,collection,broad_period,by_event/viet-nam-1954-1975,2,gallery,image_02.<đúng-đuôi-file>,direct,high,Sự kiện Sài Gòn thất thủ ngày 30-4-1975,https://commons.wikimedia.org/wiki/Category:Fall_of_Saigon,,,commons.wikimedia.org,,"REVIEW REQUIRED: verify the specific media file page, license, attribution, and reuse terms before download or import.",,,https://en.wikipedia.org/wiki/Fall_of_Saigon,"Kho media trực tiếp về sự kiện 30-4-1975, là mốc kết thúc giai đoạn 1954–1975. Phải mở file page cụ thể để kiểm tra license.",awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
8,viet-nam-1975-den-nay,Việt Nam từ năm 1975 đến nay,Việt Nam 1975 đến nay,collection,broad_period,by_event/viet-nam-1975-den-nay,1,thumbnail,image_01.<đúng-đuôi-file>,direct,high,Đổi Mới — cải cách từ năm 1986,https://en.wikipedia.org/wiki/%C4%90%E1%BB%95i_M%E1%BB%9Bi,,,en.wikipedia.org,,"REVIEW REQUIRED: verify the specific media file page, license, attribution, and reuse terms before download or import.",,,https://en.wikipedia.org/wiki/History_of_Vietnam#Modern_period_(1945%E2%80%93present),"Đổi Mới là tiến trình trung tâm của Việt Nam từ 1975 đến nay; chọn ảnh/tư liệu gắn rõ với cải cách, không dùng skyline hiện đại chung chung.",awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
8,viet-nam-1975-den-nay,Việt Nam từ năm 1975 đến nay,Việt Nam 1975 đến nay,collection,broad_period,by_event/viet-nam-1975-den-nay,2,gallery,image_02.<đúng-đuôi-file>,strong_contextual,high,Việt Nam gia nhập Liên hợp quốc năm 1977,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_413,,,en.wikipedia.org,,"REVIEW REQUIRED: verify the specific media file page, license, attribution, and reuse terms before download or import.",,,https://undocs.org/S/RES/413(1977),"Mốc hội nhập quốc tế quan trọng của Việt Nam sau 1975. Ưu tiên scan nghị quyết, bản đồ hoặc tư liệu lễ kết nạp có nguồn rõ.",awaiting_manual_download,,baotanglichsu.vn|nhandan.vn|qdnd.vn|vietnamplus.vn|luutru.gov.vn,,,,,,True,False
9,khoi-nghia-hai-ba-trung,Khởi nghĩa Hai Bà Trưng,40-43,atomic,ancient_medieval,by_event/khoi-nghia-hai-ba-trung,1,thumbnail,image_01.<đúng-đuôi-file>,strong_contextual,medium,Hai Bà Trưng Temple (Đồng Nhân),https://en.wikipedia.org/wiki/Hai_B%C3%A0_Tr%C6%B0ng_Temple_%28%C4%90%E1%BB%93ng_Nh%C3%A2n%29,,,en.wikipedia.org,,check on linked image file page before reuse,,,https://en.wikipedia.org/wiki/Hai_B%C3%A0_Tr%C6%B0ng_Temple_%28%C4%90%E1%BB%93ng_Nh%C3%A2n%29,Đền thờ liên quan trực tiếp đến Hai Bà Trưng.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
9,khoi-nghia-hai-ba-trung,Khởi nghĩa Hai Bà Trưng,40-43,atomic,ancient_medieval,by_event/khoi-nghia-hai-ba-trung,2,gallery,image_02.<đúng-đuôi-file>,direct,high,Hai Bà Trưng — nhân vật lãnh đạo cuộc khởi nghĩa năm 40–43,https://en.wikipedia.org/wiki/Tr%C6%B0ng_Sisters,,,en.wikipedia.org,,"REVIEW REQUIRED: verify the specific media file page, license, attribution, and reuse terms before download or import.",,,https://en.wikipedia.org/wiki/Tr%C6%B0ng_Sisters,"Nguồn trực tiếp về Hai Bà Trưng và cuộc khởi nghĩa; chọn hình tượng/di tích có chú thích rõ, không dùng danh sách đền chung chung.",awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
10,khoi-nghia-khu-lien-lap-nuoc-lam-ap,Khởi nghĩa Khu Liên lập nước Lâm Ấp,Năm 192,atomic,ancient_medieval,by_event/khoi-nghia-khu-lien-lap-nuoc-lam-ap,1,thumbnail,image_01.<real-extension>,direct,high,Khu Liên / Sri Mara,https://en.wikipedia.org/wiki/Khu_Li%C3%AAn,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Khu_Li%C3%AAn,Nhân vật trực tiếp lãnh đạo cuộc nổi dậy và được gắn với việc lập Lâm Ấp.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
10,khoi-nghia-khu-lien-lap-nuoc-lam-ap,Khởi nghĩa Khu Liên lập nước Lâm Ấp,Năm 192,atomic,ancient_medieval,by_event/khoi-nghia-khu-lien-lap-nuoc-lam-ap,2,gallery,image_02.<real-extension>,direct,high,Bản đồ vương quốc Lâm Ấp,https://en.wikipedia.org/wiki/L%C3%A2m_%E1%BA%A4p,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/L%C3%A2m_%E1%BA%A4p,Trang có bản đồ Lâm Ấp và bối cảnh thành lập vương quốc.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
11,phu-nam-tro-thanh-vuong-quoc-hung-manh,Phù Nam trở thành vương quốc hùng mạnh,Từ thế kỉ III đến thế kỉ V,atomic,ancient_medieval,by_event/phu-nam-tro-thanh-vuong-quoc-hung-manh,1,thumbnail,image_01.<real-extension>,direct,high,Vương quốc Phù Nam,https://en.wikipedia.org/wiki/Funan,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Funan,Trang trực tiếp về Phù Nam và giai đoạn phát triển hùng mạnh.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
11,phu-nam-tro-thanh-vuong-quoc-hung-manh,Phù Nam trở thành vương quốc hùng mạnh,Từ thế kỉ III đến thế kỉ V,atomic,ancient_medieval,by_event/phu-nam-tro-thanh-vuong-quoc-hung-manh,2,gallery,image_02.<real-extension>,strong_contextual,high,Di tích khảo cổ Óc Eo,https://en.wikipedia.org/wiki/%C3%93c_Eo,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/%C3%93c_Eo,Óc Eo là trung tâm khảo cổ và thương mại gắn chặt với Phù Nam.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
12,khoi-nghia-ba-trieu,Khởi nghĩa Bà Triệu,248,atomic,ancient_medieval,by_event/khoi-nghia-ba-trieu,1,thumbnail,image_01.<real-extension>,direct,high,Bà Triệu / Lady Triệu,https://en.wikipedia.org/wiki/Lady_Tri%E1%BB%87u,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Lady_Tri%E1%BB%87u,Nhân vật trực tiếp của cuộc khởi nghĩa năm 248.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
12,khoi-nghia-ba-trieu,Khởi nghĩa Bà Triệu,248,atomic,ancient_medieval,by_event/khoi-nghia-ba-trieu,2,gallery,image_02.<real-extension>,strong_contextual,high,Đền Bà Triệu,https://en.wikipedia.org/wiki/B%C3%A0_Tri%E1%BB%87u_Temple,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/B%C3%A0_Tri%E1%BB%87u_Temple,Di tích thờ nhân vật trực tiếp của cuộc khởi nghĩa.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
13,khoi-nghia-ly-bi-trieu-quang-phuc,Khởi nghĩa Lý Bí và Triệu Quang Phục,542-602,atomic,ancient_medieval,by_event/khoi-nghia-ly-bi-trieu-quang-phuc,1,thumbnail,image_01.<real-extension>,direct,high,Lý Nam Đế / Lý Bí,https://en.wikipedia.org/wiki/L%C3%BD_Nam_%C4%90%E1%BA%BF,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/L%C3%BD_Nam_%C4%90%E1%BA%BF,Lý Bí là người khởi xướng cuộc khởi nghĩa và lập nước Vạn Xuân.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
13,khoi-nghia-ly-bi-trieu-quang-phuc,Khởi nghĩa Lý Bí và Triệu Quang Phục,542-602,atomic,ancient_medieval,by_event/khoi-nghia-ly-bi-trieu-quang-phuc,2,gallery,image_02.<real-extension>,direct,high,Triệu Việt Vương / Triệu Quang Phục,https://en.wikipedia.org/wiki/Tri%E1%BB%87u_Vi%E1%BB%87t_V%C6%B0%C6%A1ng,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Tri%E1%BB%87u_Vi%E1%BB%87t_V%C6%B0%C6%A1ng,Triệu Quang Phục tiếp tục cuộc kháng chiến sau Lý Bí.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
14,xa-lan-dau-tien-xuat-hien,Xã lần đầu tiên xuất hiện,Đầu thế kỉ VII,atomic,ancient_medieval,by_event/xa-lan-dau-tien-xuat-hien,1,thumbnail,image_01.<real-extension>,strong_contextual,medium,An Nam đô hộ phủ thời Đường,https://en.wikipedia.org/wiki/Annan_%28Tang_protectorate%29,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Annan_%28Tang_protectorate%29,"Bản đồ và bối cảnh hành chính đầu thời Đường, khi đơn vị xã xuất hiện.",awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
14,xa-lan-dau-tien-xuat-hien,Xã lần đầu tiên xuất hiện,Đầu thế kỉ VII,atomic,ancient_medieval,by_event/xa-lan-dau-tien-xuat-hien,2,gallery,image_02.<real-extension>,strong_contextual,medium,Hệ thống protectorate thời Đường,https://en.wikipedia.org/wiki/Protectorate_%28imperial_China%29,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Protectorate_%28imperial_China%29,Bối cảnh cơ cấu hành chính; chỉ chọn bản đồ/sơ đồ phù hợp.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
15,mai-thuc-loan-khoi-nghia,Mai Thúc Loan dựng cờ khởi nghĩa,đầu thế kỉ VIII,atomic,ancient_medieval,by_event/mai-thuc-loan-khoi-nghia,1,thumbnail,image_01.<real-extension>,direct,high,Mai Thúc Loan,https://en.wikipedia.org/wiki/Mai_Th%C3%BAc_Loan,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Mai_Th%C3%BAc_Loan,Nhân vật trực tiếp dựng cờ khởi nghĩa.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
15,mai-thuc-loan-khoi-nghia,Mai Thúc Loan dựng cờ khởi nghĩa,đầu thế kỉ VIII,atomic,ancient_medieval,by_event/mai-thuc-loan-khoi-nghia,2,gallery,image_02.<real-extension>,strong_contextual,high,An Nam đô hộ phủ thời Đường,https://en.wikipedia.org/wiki/Annan_%28Tang_protectorate%29,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Annan_%28Tang_protectorate%29,Bối cảnh hành chính và bản đồ nơi cuộc nổi dậy bùng nổ.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
16,khoi-nghia-mai-thuc-loan,Khởi nghĩa Mai Thúc Loan,713-722,atomic,ancient_medieval,by_event/khoi-nghia-mai-thuc-loan,1,thumbnail,image_01.<real-extension>,direct,high,Khởi nghĩa Mai Thúc Loan,https://en.wikipedia.org/wiki/Mai_Th%C3%BAc_Loan,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Mai_Th%C3%BAc_Loan,Trang trực tiếp về cuộc khởi nghĩa 722–723.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
16,khoi-nghia-mai-thuc-loan,Khởi nghĩa Mai Thúc Loan,713-722,atomic,ancient_medieval,by_event/khoi-nghia-mai-thuc-loan,2,gallery,image_02.<real-extension>,strong_contextual,high,Bản đồ An Nam dưới thời Đường,https://en.wikipedia.org/wiki/Annan_%28Tang_protectorate%29,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Annan_%28Tang_protectorate%29,Bản đồ bối cảnh trực tiếp của cuộc khởi nghĩa.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
17,khoi-nghia-phung-hung,Khởi nghĩa Phùng Hưng,Cuối thế kỉ VIII,atomic,ancient_medieval,by_event/khoi-nghia-phung-hung,1,thumbnail,image_01.<real-extension>,direct,high,Phùng Hưng,https://en.wikipedia.org/wiki/Ph%C3%B9ng_H%C6%B0ng,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/Ph%C3%B9ng_H%C6%B0ng,Nhân vật trực tiếp của cuộc khởi nghĩa.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
17,khoi-nghia-phung-hung,Khởi nghĩa Phùng Hưng,Cuối thế kỉ VIII,atomic,ancient_medieval,by_event/khoi-nghia-phung-hung,2,gallery,image_02.<real-extension>,strong_contextual,medium,Đường Lâm,https://en.wikipedia.org/wiki/%C4%90%C6%B0%E1%BB%9Dng_L%C3%A2m,,,en.wikipedia.org,,Mở trang file ảnh và kiểm tra trước khi sử dụng,,,https://en.wikipedia.org/wiki/%C4%90%C6%B0%E1%BB%9Dng_L%C3%A2m,Quê hương truyền thống gắn với Phùng Hưng; chọn ảnh di tích thờ ông nếu có.,awaiting_manual_download,,baotanglichsu.vn|disanvanhoa.gov.vn|bvhttdl.gov.vn|qdnd.vn|nhandan.vn|unesco.org|whc.unesco.org,,,,,,True,False
